#DAYS	13522_MAG	13522_ERR	99em_MAG	99em_ERR	98S_MAG	98S_ERR	88Z_MAG	87A_MAG	10jl_MAG	10jl_ERR	97cy_MAG
63	15.8	0.2	0	0	0	0	0	0	0	0	0
63.92	0	0	0	0	0	0	0	0	13.828	0.024	0
63.97	0	0	-0.04862	0.01	0	0	0	0	0	0	0
64.3	0	0	0	0	13.42	0.01	0	0	0	0	0
64.94	0	0	0	0	0	0	0	2.41	0	0	0
64.94	0	0	0	0	0	0	0	2.41	0	0	0
65.01	0	0	0	0	0	0	0	0	13.839	0.024	0
65.91	0	0	0	0	0	0	0	0	13.827	0.024	0
65.92	0	0	0	0	0	0	0	2.42	0	0	0
65.92	0	0	0	0	0	0	0	2.42	0	0	0
66.93	0	0	0	0	0	0	0	2.42	0	0	0
66.93	0	0	0	0	0	0	0	2.42	0	0	0
67.92	0	0	0	0	0	0	0	2.38	0	0	0
67.92	0	0	0	0	0	0	0	2.38	0	0	0
68.9	0	0	-0.06261	0.01021	0	0	0	0	0	0	0
71.92	0	0	0	0	0	0	0	2.33	0	0	0
71.93	0	0	0	0	0	0	0	2.326	0	0	0
72.3	0	0	0	0	13.76	0.01	0	0	0	0	0
72.95	0	0	0	0	0	0	0	2.3	0	0	0
72.95	0	0	0	0	0	0	0	2.3	0	0	0
73.85	0	0	0	0	0	0	0	0	0	0	17.444
73.88	0	0	-0.04433	0.01	0	0	0	0	0	0	0
73.96	0	0	0	0	0	0	0	2.279	0	0	0
73.96	0	0	0	0	0	0	0	2.28	0	0	0
74.3	0	0	0	0	13.93	0.01	0	0	0	0	0
76.3	0	0	0	0	14.11	0.01	0	0	0	0	0
78.88	0	0	-0.07168	0.01162	0	0	0	0	0	0	0
78.99	0	0	0	0	0	0	0	2.27	0	0	0
79	0	0	0	0	0	0	0	2.27	0	0	0
80.74	0	0	0	0	0	0	0	0	0	0	17.493
80.92	0	0	0	0	0	0	0	2.279	0	0	0
80.92	0	0	0	0	0	0	0	2.28	0	0	0
81.79	0	0	0	0	0	0	0	0	13.908	0.024	0
82.8	0	0	0	0	0	0	0	0	13.913	0.025	0
82.91	0	0	0	0	0	0	0	2.29	0	0	0
82.91	0	0	0	0	0	0	0	2.291	0	0	0
83.92	0	0	0	0	0	0	0	2.28	0	0	0
83.93	0	0	0	0	0	0	0	2.285	0	0	0
84.91	0	0	0	0	0	0	0	2.28	0	0	0
84.91	0	0	0	0	0	0	0	2.283	0	0	0
89	15.9	0.2	0	0	0	0	0	0	0	0	0
89.91	0	0	0	0	0	0	0	2.299	0	0	0
89.91	0	0	0	0	0	0	0	2.3	0	0	0
90.92	0	0	0	0	0	0	0	2.282	0	0	0
90.92	0	0	0	0	0	0	0	2.3	0	0	0
91.9	0	0	0	0	0	0	0	2.3	0	0	0
91.9	0	0	0	0	0	0	0	2.305	0	0	0
92.75	0	0	0	0	0	0	0	0	0	0	17.564
92.87	0	0	0.03174	0.01034	0	0	0	0	0	0	0
93.4	0	0	0	0	14.64	0.03	0	0	0	0	0
95.91	0	0	0	0	0	0	0	2.39	0	0	0
95.91	0	0	0	0	0	0	0	2.391	0	0	0
97.6	0	0	0	0	15.04	0.04	0	0	0	0	0
97.91	0	0	0	0	0	0	0	2.426	0	0	0
97.91	0	0	0	0	0	0	0	2.43	0	0	0
98.83	0	0	0.1212	0.01	0	0	0	0	0	0	0
99.3	0	0	0	0	15.07	0.02	0	0	0	0	0
100.89	0	0	0	0	0	0	0	2.502	0	0	0
100.9	0	0	0	0	0	0	0	2.5	0	0	0
102.89	0	0	0	0	0	0	0	2.549	0	0	0
102.89	0	0	0	0	0	0	0	2.55	0	0	0
103.8	0	0	0.22646	0.01002	0	0	0	0	0	0	0
103.9	0	0	0	0	0	0	0	2.59	0	0	0
103.9	0	0	0	0	0	0	0	2.59	0	0	0
105	16.1	0.2	0	0	0	0	0	0	0	0	0
107.78	0	0	0	0	0	0	0	0	13.955	0.024	0
107.9	0	0	0	0	0	0	0	2.77	0	0	0
107.9	0	0	0	0	0	0	0	2.771	0	0	0
109.9	0	0	0	0	0	0	0	2.848	0	0	0
109.9	0	0	0	0	0	0	0	2.85	0	0	0
110.73	0	0	0	0	0	0	0	0	13.966	0.027	0
110.89	0	0	0	0	0	0	0	2.94	0	0	0
110.89	0	0	0	0	0	0	0	2.943	0	0	0
111.82	0	0	0	0	0	0	0	0	13.967	0.025	0
113	0	0	0	0	0	0	0	0	0	0	0
113.78	0	0	0	0	0	0	0	0	0	0	17.717
113.91	0	0	0	0	0	0	0	3.06	0	0	0
113.91	0	0	0	0	0	0	0	3.064	0	0	0
114.37	0	0	0	0	0	0	0	3.1	0	0	0
114.37	0	0	0	0	0	0	0	3.105	0	0	0
114.9	0	0	0	0	0	0	0	3.14	0	0	0
114.9	0	0	0	0	0	0	0	3.141	0	0	0
115	0	0	0	0	0	0	17.47	0	0	0	0
115.37	0	0	0	0	0	0	0	3.15	0	0	0
115.37	0	0	0	0	0	0	0	3.15	0	0	0
115.9	0	0	0	0	0	0	0	3.18	0	0	0
